,auction_id,experiment,date,hour,device_make,platform_os,browser,yes,no
0,0008ef63-77a7-448b-bd1e-075f42c55e39,exposed,2020-07-10,8,Generic Smartphone,6,Chrome Mobile,0,0
1,000eabc5-17ce-4137-8efe-44734d914446,exposed,2020-07-07,10,Generic Smartphone,6,Chrome Mobile,0,0
2,0016d14a-ae18-4a02-a204-6ba53b52f2ed,exposed,2020-07-05,2,E5823,6,Chrome Mobile WebView,0,1
3,00187412-2932-4542-a8ef-3633901c98d9,control,2020-07-03,15,Samsung SM-A705FN,6,Facebook,0,0
4,001a7785-d3fe-4e11-a344-c8735acacc2c,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
5,0027ce48-d3c6-4935-bb12-dfb5d5627857,control,2020-07-03,15,Samsung SM-G960F,6,Facebook,0,0
6,002e308b-1a07-49d6-8560-0fbcdcd71e4b,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
7,00393fb9-ca32-40c0-bfcb-1bd83f319820,control,2020-07-09,5,Samsung SM-G973F,6,Facebook,0,0
8,004940f5-c642-417a-8fd2-c8e5d989f358,exposed,2020-07-04,0,Generic Smartphone,6,Chrome Mobile WebView,0,0
9,004c4cc9-f2ca-4df7-adc9-3d0c3c4f0342,control,2020-07-05,14,Generic Smartphone,6,Chrome Mobile,0,0
11,0051dd9b-03b6-4579-b09a-0107b2a3a13e,control,2020-07-09,6,Samsung SM-G935F,6,Chrome Mobile WebView,0,0
12,0057654c-4781-4ddc-af0f-c584f776a6c8,control,2020-07-05,8,Generic Smartphone,6,Chrome Mobile,0,0
13,006b9c6e-5f5d-4385-a811-ff20a24b30ac,exposed,2020-07-06,8,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
14,0073f9a6-0856-44b4-870d-8e525878ad29,exposed,2020-07-04,15,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
15,0084b196-3752-4fb0-9892-852d28db4c2a,exposed,2020-07-07,16,HTC One,6,Chrome Mobile,0,0
16,008aafdf-deef-4482-8fec-d98e3da054da,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,1,0
17,009921b9-85e0-4ef4-97bb-056b4d4eb37c,control,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0,0
18,009d83e9-7337-412d-82e2-994f2d13a4ef,exposed,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,0,0
19,009f8ffc-3188-433d-8946-965c40444587,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
20,00a1384a-5118-4d1b-925b-6cdada50318d,exposed,2020-07-06,8,Generic Smartphone,6,Chrome Mobile,0,1
21,00b0dd5a-6c44-4a2e-82bd-a4dddf826a9f,control,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,0,0
22,00b6f2ed-a497-4269-a78f-77d4f26d85cd,control,2020-07-03,15,LG-$2,6,Chrome Mobile,0,0
23,00b6fadb-10bd-49e3-a778-290da82f7a8d,control,2020-07-08,4,Samsung SM-A202F,6,Facebook,1,0
24,00be1b54-f635-4def-be18-f9322b62a88e,exposed,2020-07-09,17,Generic Smartphone,6,Chrome Mobile,0,0
27,00ebf4a8-060f-4b99-93ac-c62724399483,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,1
28,00ece802-4a85-43d3-8cf5-ebe94f83d632,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
29,00ed819f-8486-43fe-aba7-b264fba62e1d,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
30,00ef0267-acec-4ef3-b273-f49d5e25561b,exposed,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,0,0
31,00f31b5c-5e3d-4f34-b1ee-5765efb2455a,exposed,2020-07-10,1,Generic Smartphone,6,Chrome Mobile,0,0
32,01079dde-1496-486b-982f-dfb4d7fd5678,exposed,2020-07-06,10,Generic Smartphone,6,Facebook,0,0
33,010ae43b-558b-42e7-9134-bbfe6963c6d2,control,2020-07-04,19,XT1032,6,Chrome Mobile WebView,0,0
34,0110d73e-9308-4794-85d8-2771d1f351b9,exposed,2020-07-05,18,Generic Smartphone,6,Chrome Mobile,0,0
35,01184c15-62ad-4716-9546-fe93de18a98e,control,2020-07-03,15,COL-L29,6,Chrome Mobile WebView,0,0
36,01198c7d-3ed6-42ea-9ba9-12b5a7cf0c2d,exposed,2020-07-06,4,Generic Smartphone,6,Chrome Mobile,0,0
37,0122c268-bec0-4679-858e-036e9ecb2a56,exposed,2020-07-07,3,Samsung SM-N960U1,6,Chrome Mobile WebView,0,0
38,012f3899-4b38-42d9-98fd-a5cd183dda24,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
39,013e45cf-e388-46a4-9c5b-a34303613940,exposed,2020-07-10,2,Generic Smartphone,6,Chrome Mobile,0,1
40,014bf8c5-3ffd-4ae2-8f54-306b412f5e5b,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
41,01515cfe-7660-410c-80d7-a5e769f75925,control,2020-07-03,15,Samsung SM-A715F,6,Samsung Internet,0,0
42,01559a51-bd98-4afc-b653-007b7a6707e1,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
43,01637c58-8b8b-43f2-90d7-acc5d6563590,exposed,2020-07-04,17,Samsung SM-G930F,6,Chrome Mobile WebView,0,0
44,016ee01c-bed5-4611-b515-738e48ab76c7,control,2020-07-03,15,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
45,018af862-486e-4da1-a85b-71872120e57c,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
